Complaint total,Temp Avg,Hum Avg,Baro Avg,Windspeed,Gust,Wind Direction,Heat Index,Wind Chill,Dew Point
1,41.99,87.0,30.32,0.22333000000000003,2.2,293.0,41.99,42.0,38.5
0,43.68,83.0,30.34,0.38833,2.6,328.0,43.68,43.7,39.0
0,50.41,70.0,30.35,1.315,7.7,270.0,50.41,50.4,40.7
0,54.96,55.0,30.35,3.23,7.5,70.0,54.96,55.0,39.2
0,57.1,50.0,30.36,2.515,7.9,77.0,57.1,57.1,38.5
0,59.22,46.0,30.34,2.02167,6.0,99.0,59.22,59.2,38.4
0,60.98,43.0,30.32,2.59,10.6,174.0,60.98,61.0,38.3
1,60.64,46.0,30.3,3.8383300000000005,10.6,202.0,60.64,60.6,39.7
0,60.09,49.0,30.28,4.95167,11.6,262.0,60.09,60.1,40.9
0,59.62,51.0,30.27,4.67833,12.0,229.0,59.62,59.6,41.6
0,59.72,55.0,30.26,4.45333,11.1,275.0,59.72,59.7,43.4
0,59.13,58.0,30.26,3.5333300000000003,8.9,271.0,59.13,59.1,44.5
0,57.97,64.0,30.27,2.985,7.9,272.0,57.97,58.0,46.0
0,55.92,71.0,30.26,1.585,4.2,262.0,55.92,55.9,46.6
0,55.92,74.0,30.27,2.4983299999999997,7.9,270.0,55.92,55.9,47.6
0,54.77,75.0,30.28,2.28667,7.0,243.0,54.77,54.8,47.2
0,54.73,79.0,30.27,2.46833,7.2,262.0,54.73,54.7,48.4
0,54.14,81.0,30.27,2.57833,7.0,316.0,54.14,54.1,48.6
0,53.85,80.0,30.25,2.745,7.5,284.0,53.85,53.8,47.8
0,52.32,81.0,30.24,2.65667,9.0,276.0,52.32,52.3,46.8
0,51.68,81.0,30.23,2.1066700000000003,6.5,276.0,51.68,51.7,46.1
0,51.53,80.0,30.21,2.23667,7.5,270.0,51.53,51.5,45.7
0,49.48,84.0,30.2,0.81833,3.0,266.0,49.48,49.5,44.9
0,47.55,87.0,30.19,1.03667,6.0,360.0,47.55,47.6,44.0
0,50.09,81.0,30.19,3.16167,9.5,248.0,50.09,50.1,44.6
0,51.26,80.0,30.19,4.8116699999999994,16.8,272.0,51.26,51.3,45.3
0,54.19,77.0,30.19,6.20667,16.3,282.0,54.19,54.2,47.0
0,58.62,69.0,30.18,6.401669999999999,18.8,265.0,58.62,58.6,48.6
0,62.42,61.0,30.17,7.1083300000000005,22.3,284.0,62.42,62.4,48.7
1,65.36,55.0,30.14,6.95167,17.6,279.0,65.36,65.4,48.6
0,68.53,49.0,30.12,6.83333,17.0,273.0,68.53,68.5,48.7
0,70.93,47.0,30.09,6.555,19.6,267.0,70.93,70.9,49.8
0,70.11,57.0,30.08,6.8916699999999995,21.8,267.0,70.11,70.1,54.0
0,70.0,58.0,30.06,6.745,17.5,253.0,70.0,70.0,54.5
0,69.61,60.0,30.04,6.57833,14.9,284.0,69.61,69.6,54.9
0,67.87,65.0,30.03,6.433330000000001,14.9,259.0,67.87,67.9,55.7
1,66.03,71.0,30.03,5.45833,13.8,254.0,66.03,66.0,56.3
0,64.75,75.0,30.02,5.275,15.5,265.0,64.75,64.7,56.6
0,64.45,75.0,30.03,4.33833,16.1,254.0,64.45,64.4,56.4
0,63.65,75.0,30.04,3.4,11.4,272.0,63.65,63.7,55.6
0,62.39,76.0,30.05,2.89667,7.7,319.0,62.39,62.4,54.8
0,62.29,76.0,30.04,3.24167,11.6,269.0,62.29,62.3,54.7
0,62.27,77.0,30.03,4.9366699999999994,16.8,276.0,62.27,62.3,54.8
0,61.4,79.0,30.01,5.04833,13.5,274.0,61.4,61.4,54.9
0,60.4,82.0,30.01,4.99667,13.0,285.0,60.4,60.4,54.8
0,59.6,84.0,29.99,5.353330000000001,14.0,273.0,59.6,59.6,54.8
0,58.73,86.0,30.0,4.7733300000000005,10.6,278.0,58.73,58.7,54.7
1,58.24,88.0,29.99,5.285,14.5,278.0,58.24,58.2,54.7
0,57.75,89.0,30.0,5.00333,13.0,277.0,57.75,57.8,54.6
1,57.72,89.0,30.0,3.85167,8.9,271.0,57.72,57.7,54.6
0,60.04,84.0,30.0,2.6,8.9,292.0,60.04,60.0,55.1
0,63.3,76.0,30.0,1.97167,6.7,357.0,63.3,63.3,55.5
0,67.49,66.0,30.0,1.6866700000000001,5.4,338.0,67.49,67.5,55.8
